classe_verdadeira,classe_predita,confianca
alterar_pedido,alterar_pedido,0.83595
alterar_pedido,alterar_pedido,0.95248
alterar_pedido,alterar_pedido,0.68381
alterar_pedido,alterar_pedido,0.81385
alterar_pedido,alterar_pedido,0.90165
alterar_pedido,alterar_pedido,0.71145
alterar_pedido,alterar_pedido,0.52377
alterar_pedido,alterar_pedido,0.80607
alterar_pedido,fazer_pedido,0.54313
alterar_pedido,alterar_pedido,0.71315
cancelar_pedido,cancelar_pedido,0.42215
cancelar_pedido,cancelar_pedido,0.68602
cancelar_pedido,cancelar_pedido,0.75072
cancelar_pedido,cancelar_pedido,0.94833
cancelar_pedido,cancelar_pedido,0.98835
cancelar_pedido,cancelar_pedido,0.97623
cancelar_pedido,cancelar_pedido,0.91253
cancelar_pedido,cancelar_pedido,0.81758
cancelar_pedido,cancelar_pedido,0.69718
cancelar_pedido,cancelar_pedido,0.90472
conhecimento_do_bot,conhecimento_do_bot,0.97614
conhecimento_do_bot,conhecimento_do_bot,0.45048
conhecimento_do_bot,conhecimento_do_bot,0.87291
conhecimento_do_bot,conhecimento_do_bot,0.55401
conhecimento_do_bot,geral_falar_com_uma_pessoa,0.55119
conhecimento_do_bot,conhecimento_do_bot,0.71797
conhecimento_do_bot,conhecimento_do_bot,0.77441
conhecimento_do_bot,conhecimento_do_bot,0.73539
conhecimento_do_bot,conhecimento_do_bot,0.57613
conhecimento_do_bot,conhecimento_do_bot,0.87842
consultar_cardapio,consultar_cardapio,0.89699
consultar_cardapio,consultar_cardapio,0.92478
consultar_cardapio,consultar_cardapio,0.75009
consultar_cardapio,consultar_cardapio,0.5033
consultar_cardapio,consultar_cardapio,0.92462
consultar_cardapio,consultar_cardapio,0.85969
consultar_cardapio,consultar_cardapio,0.78801
consultar_cardapio,consultar_cardapio,0.8845
consultar_cardapio,consultar_cardapio,0.52876
consultar_cardapio,consultar_cardapio,0.80995
consultar_endereco,consultar_endereco,0.59509
consultar_endereco,consultar_endereco,0.59509
consultar_endereco,consultar_endereco,0.89623
consultar_endereco,consultar_endereco,0.6042
consultar_endereco,consultar_endereco,0.95746
consultar_endereco,consultar_endereco,0.92632
consultar_endereco,consultar_endereco,0.47987
consultar_endereco,consultar_endereco,0.99026
consultar_endereco,rastrear_pedido,0.47339
consultar_endereco,consultar_endereco,0.53299
consultar_funcionamento,consultar_funcionamento,0.71718
consultar_funcionamento,consultar_funcionamento,0.47787
consultar_funcionamento,consultar_funcionamento,0.63638
consultar_funcionamento,consultar_funcionamento,0.94378
consultar_funcionamento,consultar_funcionamento,0.32184
consultar_funcionamento,consultar_funcionamento,0.50514
