classe_verdadeira,classe_predita,confianca
alterar_pedido,alterar_pedido,0.6982
alterar_pedido,alterar_pedido,0.98083
alterar_pedido,alterar_pedido,0.5464
alterar_pedido,cancelar_pedido,0.5494
alterar_pedido,alterar_pedido,0.8305
alterar_pedido,geral_falar_com_uma_pessoa,0.4063
alterar_pedido,alterar_pedido,0.4865
alterar_pedido,alterar_pedido,0.733
alterar_pedido,consultar_preco,0.6804
alterar_pedido,alterar_pedido,0.7644
cancelar_pedido,cancelar_pedido,0.3671
cancelar_pedido,cancelar_pedido,0.7002
cancelar_pedido,cancelar_pedido,0.8066
cancelar_pedido,cancelar_pedido,0.9527
cancelar_pedido,cancelar_pedido,0.9909
cancelar_pedido,cancelar_pedido,0.9753
cancelar_pedido,cancelar_pedido,0.9272
cancelar_pedido,cancelar_pedido,0.8939
cancelar_pedido,cancelar_pedido,0.6652
cancelar_pedido,cancelar_pedido,0.8931
conhecimento_do_bot,conhecimento_do_bot,0.9792
conhecimento_do_bot,conhecimento_do_bot,0.4331
conhecimento_do_bot,conhecimento_do_bot,0.8661
conhecimento_do_bot,conhecimento_do_bot,0.4722
conhecimento_do_bot,geral_falar_com_uma_pessoa,0.4888
conhecimento_do_bot,conhecimento_do_bot,0.7087
conhecimento_do_bot,conhecimento_do_bot,0.7634
conhecimento_do_bot,conhecimento_do_bot,0.7613
conhecimento_do_bot,conhecimento_do_bot,0.5527
conhecimento_do_bot,conhecimento_do_bot,0.8327
consultar_cardapio,consultar_cardapio,0.8697
consultar_cardapio,consultar_cardapio,0.9205
consultar_cardapio,consultar_cardapio,0.7282
consultar_cardapio,consultar_cardapio,0.4607
consultar_cardapio,consultar_cardapio,0.9326
consultar_cardapio,consultar_cardapio,0.821
consultar_cardapio,consultar_cardapio,0.8011
consultar_cardapio,consultar_cardapio,0.8854
consultar_cardapio,consultar_cardapio,0.4682
consultar_cardapio,consultar_cardapio,0.7864
consultar_endereco,consultar_cardapio,0.6423
consultar_endereco,consultar_endereco,0.4737
consultar_endereco,consultar_endereco,0.9215
consultar_endereco,consultar_endereco,0.5383
consultar_endereco,consultar_endereco,0.8757
consultar_endereco,consultar_endereco,0.9709
consultar_endereco,consultar_endereco,0.4195
consultar_endereco,consultar_endereco,0.9878
consultar_endereco,consultar_endereco,0.5225
consultar_endereco,consultar_endereco,0.4877
consultar_funcionamento,consultar_funcionamento,0.6036
consultar_funcionamento,cancelar_pedido,0.6595
consultar_funcionamento,consultar_funcionamento,0.6131
consultar_funcionamento,consultar_funcionamento,0.9337
consultar_funcionamento,consultar_endereco,0.8842
consultar_funcionamento,consultar_funcionamento,0.5215
consultar_funcionamento,consultar_funcionamento,0.3999
consultar_funcionamento,consultar_funcionamento,0.7362
consultar_funcionamento,consultar_funcionamento,0.6189
consultar_funcionamento,consultar_funcionamento,0.8601
consultar_preco,consultar_preco,0.8876
consultar_preco,consultar_preco,0.6938
consultar_preco,consultar_preco,0.8974
consultar_preco,consultar_preco,0.7046
consultar_preco,consultar_preco,0.8234
consultar_preco,consultar_preco,0.6142
consultar_preco,consultar_preco,0.7649
consultar_preco,consultar_preco,0.7001
consultar_preco,consultar_preco,0.6275
consultar_preco,consultar_preco,0.9185
fazer_pedido,fazer_pedido,0.6029
fazer_pedido,fazer_pedido,0.9766
fazer_pedido,fazer_pedido,0.7123
fazer_pedido,fazer_pedido,0.3965
fazer_pedido,fazer_pedido,0.6042
fazer_pedido,fazer_pedido,0.8887
fazer_pedido,fazer_pedido,0.2852
fazer_pedido,fazer_pedido,0.9264
fazer_pedido,fazer_pedido,0.6308
fazer_pedido,fazer_pedido,0.7059
geral_agradecimento,geral_agradecimento,0.994
geral_agradecimento,geral_agradecimento,0.8831
geral_agradecimento,consultar_preco,0.5573
geral_agradecimento,geral_agradecimento,0.9281
geral_agradecimento,geral_agradecimento,0.9103
geral_agradecimento,geral_agradecimento,0.8767
geral_agradecimento,geral_agradecimento,0.8619
geral_agradecimento,geral_agradecimento,0.9717
geral_agradecimento,geral_agradecimento,0.9598
geral_agradecimento,geral_agradecimento,0.9349
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.8761
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.8833
geral_com_quem_eu_falo,consultar_funcionamento,0.7923
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.8613
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.6798
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.7049
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.9902
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.9933
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.9712
geral_com_quem_eu_falo,geral_com_quem_eu_falo,0.9951
geral_despedida,geral_despedida,0.9984
geral_despedida,geral_despedida,0.9493
geral_despedida,geral_despedida,0.9272
geral_despedida,geral_despedida,0.8837
geral_despedida,geral_despedida,0.8985
geral_despedida,geral_despedida,0.953
geral_despedida,geral_despedida,0.5994
geral_despedida,geral_despedida,0.8662
geral_despedida,geral_despedida,0.8638
geral_despedida,geral_despedida,0.9936
geral_elogiar,geral_elogiar,0.9799
geral_elogiar,geral_elogiar,0.9283
geral_elogiar,geral_elogiar,0.735
geral_elogiar,geral_elogiar,0.9872
geral_elogiar,geral_elogiar,0.8892
geral_elogiar,consultar_preco,0.6885
geral_elogiar,geral_elogiar,0.9515
geral_elogiar,geral_saudacao,0.5725
geral_elogiar,geral_elogiar,0.7155
geral_elogiar,geral_reclamar_atendimento,0.6163
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9966
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9615
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.8607
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9399
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9517
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9539
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9544
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9107
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.954
geral_falar_com_uma_pessoa,geral_falar_com_uma_pessoa,0.9658
geral_reclamar_atendimento,geral_reclamar_atendimento,0.3831
geral_reclamar_atendimento,geral_reclamar_atendimento,0.8767
geral_reclamar_atendimento,geral_reclamar_atendimento,0.4507
geral_reclamar_atendimento,geral_reclamar_atendimento,0.5844
geral_reclamar_atendimento,geral_reclamar_atendimento,0.9901
geral_reclamar_atendimento,geral_reclamar_atendimento,0.6336
geral_reclamar_atendimento,geral_reclamar_atendimento,0.7217
geral_reclamar_atendimento,geral_reclamar_atendimento,0.7162
geral_reclamar_atendimento,geral_reclamar_atendimento,0.9392
geral_reclamar_atendimento,geral_reclamar_atendimento,0.9853
geral_saudacao,geral_saudacao,0.9418
geral_saudacao,geral_saudacao,0.9594
geral_saudacao,geral_saudacao,0.9087
geral_saudacao,geral_saudacao,0.9667
geral_saudacao,geral_saudacao,0.9315
geral_saudacao,geral_saudacao,0.6513
geral_saudacao,geral_saudacao,0.7776
geral_saudacao,geral_saudacao,0.6404
geral_saudacao,geral_saudacao,0.9597
geral_saudacao,geral_saudacao,0.8543
pedir_recomendacao,pedir_recomendacao,0.9489
pedir_recomendacao,pedir_recomendacao,0.7078
pedir_recomendacao,pedir_recomendacao,0.7585
pedir_recomendacao,pedir_recomendacao,0.6144
pedir_recomendacao,pedir_recomendacao,0.8928
pedir_recomendacao,geral_saudacao,0.7692
pedir_recomendacao,pedir_recomendacao,0.7328
pedir_recomendacao,pedir_recomendacao,0.8726
pedir_recomendacao,fazer_pedido,0.4492
pedir_recomendacao,pedir_recomendacao,0.8584
rastrear_pedido,rastrear_pedido,0.4855
rastrear_pedido,rastrear_pedido,0.848
rastrear_pedido,rastrear_pedido,0.5818
rastrear_pedido,rastrear_pedido,0.8706
rastrear_pedido,rastrear_pedido,0.9249
rastrear_pedido,rastrear_pedido,0.9217
rastrear_pedido,rastrear_pedido,0.9954
rastrear_pedido,rastrear_pedido,0.971
rastrear_pedido,rastrear_pedido,0.7469
rastrear_pedido,rastrear_pedido,0.7801
reservar_mesa,reservar_mesa,0.9345
reservar_mesa,reservar_mesa,0.7968
reservar_mesa,reservar_mesa,0.1618
reservar_mesa,reservar_mesa,0.7828
reservar_mesa,reservar_mesa,0.9506
reservar_mesa,reservar_mesa,0.7598
reservar_mesa,reservar_mesa,0.6603
reservar_mesa,reservar_mesa,0.4691
reservar_mesa,reservar_mesa,0.8781
reservar_mesa,reservar_mesa,0.6159
